"source";"target";"interaction";"directed";"symbol"
"0e7c0ef5-b330-4ad5-948b-1e70adeb7f27";"8eb10fff-70e6-4772-b524-c16d95ed1095";"belongsto";"true";0
"86ddf2af-005b-4553-b56e-5bd5e95f43b2";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"86ddf2af-005b-4553-b56e-5bd5e95f43b2";"e4661282-7195-4641-9001-565994142263";"belongsto";"true";0
"7213db1e-9ab3-47df-912a-31979a7ccbb2";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"7213db1e-9ab3-47df-912a-31979a7ccbb2";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"85a55027-73d0-4bc1-ac0c-0a0979212ff8";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"85a55027-73d0-4bc1-ac0c-0a0979212ff8";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"4613a450-410b-4562-9474-badd3445a780";"d3639dfe-2bef-4a77-8c6f-f2dc630f82dc";"belongsto";"true";0
"4613a450-410b-4562-9474-badd3445a780";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"1dcb7763-87ad-433c-b577-e407bdfaba64";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"d5e75d73-ea2a-4ccd-aaba-c19675dec981";"be4b8713-f71a-4161-b1d8-177a69af1f7f";"belongsto";"true";0
"590faac4-b214-441e-a9ae-490be21d0166";"7dcde570-481b-4b0e-938b-f9f942f73f10";"belongsto";"true";0
"4028922d-c484-4d70-91cc-c2ac098bdde0";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"1cf52cc1-fa4d-4ddb-babb-b2a7a728c7c1";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"e256d1e8-da50-43b4-aba8-36f93f483f11";"f3e03abc-0030-45b2-8282-7f2ee768c573";"belongsto";"true";0
"5a842b31-c870-4a77-bfe3-3d7a4438a1c6";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"5a842b31-c870-4a77-bfe3-3d7a4438a1c6";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"5a842b31-c870-4a77-bfe3-3d7a4438a1c6";"075d080b-6b6d-425b-8173-1dd334777e0a";"belongsto";"true";0
"5a842b31-c870-4a77-bfe3-3d7a4438a1c6";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"ffa5727d-5f20-4ae6-903a-84eb6b8ac8e4";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"ffa5727d-5f20-4ae6-903a-84eb6b8ac8e4";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
